Date,Open,High,Low,Close,Adj Close,Volume
2018-09-10,149.199997,150.479996,148.330002,150.279999,137.608078,10182000
2018-09-17,150.240005,151.839996,149.190002,151.160004,138.413895,8836800
2018-09-24,150.869995,151.289993,149.229996,149.649994,137.031189,12496300
2018-10-01,150.419998,150.770004,146.729996,147.630005,135.826767,13860600
2018-10-08,147.279999,148.020004,138.750000,141.369995,130.067291,32785600
2018-10-15,141.160004,144.149994,140.500000,141.350006,130.048904,17306600
2018-10-22,141.729996,141.940002,134.169998,135.770004,124.915031,25725400
2018-10-29,137.509995,141.199997,133.070007,139.559998,128.401978,19762500
2018-11-05,139.800003,144.059998,139.190002,142.169998,130.803314,12052800
2018-11-12,141.789993,141.970001,136.699997,140.080002,128.880417,14460400
2018-11-19,139.830002,139.929993,134.639999,135.130005,124.326187,13560300
2018-11-26,136.479996,141.509995,136.179993,141.350006,130.048904,18658000
2018-12-03,143.600006,144.000000,134.350006,134.899994,124.114540,19102900
2018-12-10,134.809998,137.509995,132.449997,133.119995,122.476860,20027700
2018-12-17,132.539993,133.160004,123.120003,123.489998,113.616798,49994100
2018-12-24,121.900002,128.309998,119.349998,126.430000,116.321762,54798000
2018-12-31,127.379997,129.369995,124.570000,128.899994,119.290756,24537800
2019-01-07,129.190002,132.889999,128.809998,132.839996,122.937035,20559100
2019-01-14,131.789993,136.940002,131.559998,136.649994,126.462990,18610600
2019-01-21,135.889999,136.820007,133.600006,136.470001,126.296417,15744600
2019-01-28,135.240005,139.199997,134.479996,138.729996,128.387894,17565700
2019-02-04,138.759995,140.449997,137.119995,138.970001,128.610046,17845700
2019-02-11,139.399994,142.770004,138.889999,142.740005,132.099030,13287600
2019-02-18,142.410004,143.839996,142.250000,143.770004,133.052216,10350600
2019-02-25,144.559998,144.880005,142.880005,144.419998,133.653793,13382200
2019-03-04,145.000000,145.029999,139.919998,140.990005,130.479492,13712800
2019-03-11,141.389999,145.479996,141.360001,145.009995,134.199783,9708300
2019-03-18,145.100006,146.839996,143.500000,143.559998,132.857880,19595900
2019-03-25,142.580002,144.789993,141.899994,144.710007,133.922150,16209400
2019-04-01,145.759995,147.830002,145.589996,147.779999,137.502716,14356900
